No,doi-1,doi-2,cc_frequency,pub1_msa,pub2_msa,pub1_title,pub2_title,pub1_authors,pub2_authors,dc
900,10.1093/petrology/32.2.365,10.1144/GSL.SP.1989.042.01.19,177,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Engineering, Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences, Environmental Science, Engineering","Dehydration melting and water-saturated melting of basaltic and andesitic greenstones and amphibolites at 1, 3, and 6. 9 kb",Chemical and isotopic systematics of oceanic basalts: Implications for mantle composition and processes,"Lofgren G.E., Beard J.S., Lofgren G.E., Beard J.S.","McDonough W.F., McDonough W.F., Sun S.-S., Sun S.-S.",0
901,10.1037/0022-3514.61.1.115,10.1177/014662167700100306,150,"Psychology, Psychology, Social Sciences, Social Sciences","Social Sciences, Psychology, Psychology, Social Sciences",A Prospective Study of Depression and Posttraumatic Stress Symptoms After a Natural Disaster: The 1989 Loma Prieta Earthquake,The CES-D Scale: A Self-Report Depression Scale for Research in the General Population,"Morrow J., Nolen-Hoeksema S.","Radloff L.S., Radloff L.S.",0
902,10.1109/34.85677,10.1080/01969727408546059,188,"Engineering, Engineering, Engineering, Engineering, Computer Science, Computer Science, Computer Science, Computer Science, Engineering, Computer Science, Computer Science, Engineering, Engineering, Engineering, Computer Science, Computer Science","Computer Science, Computer Science, Engineering, Computer Science, Engineering, Computer Science, Computer Science, Computer Science, Engineering, Computer Science, Engineering, Computer Science, Computer Science, Computer Science, Computer Science, Computer Science",A validity measure for fuzzy clustering,Well-separated clusters and optimal fuzzy partitions,"Beni Gerardo, Xie Xuanli Lisa","Dunn J.C., Dunn J.C.",0
903,10.1016/0047-2484(91)90034-S,10.1017/S0094837300005820,166,"Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Agricultural and Biological Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences","Agricultural and Biological Sciences, Environmental Science, Earth and Planetary Sciences, Agricultural and Biological Sciences, Earth and Planetary Sciences, Environmental Science, Agricultural and Biological Sciences, Agricultural and Biological Sciences",Breakage patterns of human long bones,Taphonomic and écologie information from bone weathering,"Villa P., Mahieu E.","Behrensmeyer A.K., Behrensmeyer A.K.",0
904,10.1111/j.1360-0443.1993.tb02093.x,10.1177/014662167700100306,210,"Medicine, Medicine, Medicine, Medicine","Social Sciences, Psychology, Psychology, Social Sciences",Development of the Alcohol Use Disorders Identification Test (AUDIT): WHO Collaborative Project on Early Detection of Persons with Harmful Alcohol Consumption‐II,The CES-D Scale: A Self-Report Depression Scale for Research in the General Population,"BABOR T.F., SAUNDERS J.B., AASLAND O.G., GRANT M., DE LA FUENTE J.R.","Radloff L.S., Radloff L.S., Radloff L.S., Radloff L.S., Radloff L.S.",0
905,10.1007/BF00283225,10.1144/GSL.SP.1989.042.01.19,127,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Engineering, Environmental Science, Engineering, Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences",Experimental investigations of the role of H2O in calc-alkaline differentiation and subduction zone magmatism,Chemical and isotopic systematics of oceanic basalts: Implications for mantle composition and processes,"Grove T.L., Sisson T.W., Grove T.L., Sisson T.W.","Sun S.-S., Sun S.-S., McDonough W.F., McDonough W.F.",0
906,10.1086/648222,10.1130/SPE284-p21,105,Earth and Planetary Sciences,Earth and Planetary Sciences,Weathering and global denudation,"Geochemical approaches to sedimentation, provenance, and tectonics","McLennan S.M., McLennan S.M., McLennan S.M., McLennan S.M.","Hanson G.N., McLennan S.M., McDaniel D.K., Hemming S.",0
907,10.1086/648222,10.1016/0016-7037(84)90408-3,168,Earth and Planetary Sciences,Earth and Planetary Sciences,Weathering and global denudation,Prediction of some weathering trends of plutonic and volcanic rocks based on thermodynamic and kinetic considerations,"McLennan S.M., McLennan S.M.","Young G.M., Nesbitt H.W.",0
908,10.1016/0009-2541(93)90140-E,10.1144/GSL.SP.1989.042.01.19,143,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Engineering, Environmental Science, Engineering, Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences",Chemical composition and evolution of the upper continental crust: Contrasting results from surface samples and shales,Chemical and isotopic systematics of oceanic basalts: Implications for mantle composition and processes,"Condie K.C., Condie K.C.","McDonough W.F., Sun S.-S.",0
909,10.1007/BF00320972,10.1144/GSL.SP.1989.042.01.19,166,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Engineering, Engineering, Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences, Environmental Science",Dehydration-melting of amphibolite at 10 kbar: the effects of temperature and time,Chemical and isotopic systematics of oceanic basalts: Implications for mantle composition and processes,"Wyllie P.J., Wolf M.B., Wyllie P.J., Wolf M.B.","Sun S.-S., Sun S.-S., McDonough W.F., McDonough W.F.",0
910,10.1016/0009-2541(94)90066-3,10.1144/GSL.SP.1989.042.01.19,111,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Earth and Planetary Sciences, Earth and Planetary Sciences, Engineering, Environmental Science, Environmental Science, Engineering",Characterization of spinel peridotites by olivine-spinel compositional relationships: Review and interpretation,Chemical and isotopic systematics of oceanic basalts: Implications for mantle composition and processes,"Arai S., Arai S.","Sun S.-S., McDonough W.F.",0
911,10.1007/BF00307273,10.1144/GSL.SP.1989.042.01.19,207,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Environmental Science, Environmental Science, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences, Earth and Planetary Sciences","Environmental Science, Engineering, Environmental Science, Earth and Planetary Sciences, Engineering, Earth and Planetary Sciences, Environmental Science, Engineering, Earth and Planetary Sciences, Environmental Science, Earth and Planetary Sciences, Engineering",Dehydration melting of a basaltic composition amphibolite at 1.5 and 2.0 GPa: implications for the origin of adakites,Chemical and isotopic systematics of oceanic basalts: Implications for mantle composition and processes,"Sen C., Dunn T., Sen C., Dunn T.","McDonough W.F., McDonough W.F., Sun S.-S., Sun S.-S.",0
912,10.1016/0301-0104(73)80059-X,10.1063/1.1679012,158,"Physics and Astronomy, Chemistry, Chemistry, Physics and Astronomy","Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy",Self-consistent molecular Hartree-Fock-Slater calculations I. The computational procedure,Coulombic potential energy integrals and approximations,"Ros P., Baerends E.J., Ellis D.E.","Whitten J.L., Whitten J.L., Whitten J.L.",0
913,10.1016/0009-2614(89)87234-3,10.1016/0301-0104(81)85090-2,204,"Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy, Chemistry, Chemistry","Results obtained with the correlation energy density functionals of becke and Lee, Yang and Parr",Electrostatic interaction of a solute with a continuum. A direct utilizaion of AB initio molecular potentials for the prevision of solvent effects,"Miehlich B., Preuss H., Stoll H., Savin A., Miehlich B., Preuss H., Stoll H., Savin A., Miehlich B., Preuss H., Stoll H., Savin A.","Scrocco E., Scrocco E., Scrocco E., Scrocco E., Miertus S., Miertus S., Miertus S., Miertus S., Tomasi J., Tomasi J., Tomasi J., Tomasi J.",0
914,10.1063/1.527421,10.1103/PhysRevLett.27.1192,103,"Mathematics, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy",A search for bilinear equations passing Hirota's three-soliton condition. II. mKdV-type bilinear equations,Exact solution of the korteweg-de vries equation for multiple Collisions of solitons,Hietarinta J.,Hirota R.,0
915,10.1016/0370-2693(85)90689-6,10.1103/PhysRevLett.68.741,131,Physics and Astronomy,Physics and Astronomy,"Technocosmology - could a technibaryon excess provide a """"natural"""" missing mass candidate?",Single explanation for both baryon and dark matter densities,Nussinov S.,Kaplan D.B.,0
916,10.1021/ja00083a040,10.1063/1.1674408,116,"Chemistry, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Chemical Engineering, Chemical Engineering, Chemical Engineering, Chemical Engineering, Chemistry","Physics and Astronomy, Physics and Astronomy, Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy, Chemistry, Chemistry","Structures and Bond Energies of the Transition Metal Hexacarbonyls M(CO)6(M = Cr, Mo, W). A Theoretical Study1",Gaussian basis functions for use in molecular calculations. I. Contraction of (9s5p) atomic basis sets for the first-row atoms,"Frenking G., Ehlers A.W.","Dunning Jr. T.H., Dunning Jr. T.H.",0
917,10.1016/0167-2681(80)90051-7,10.1037/h0034747,100,"Economics, Econometrics and Finance, Business, Management and Accounting, Business, Management and Accounting, Economics, Econometrics and Finance","Psychology, Arts and Humanities, Psychology, Arts and Humanities",Toward a positive theory of consumer choice,On the psychology of prediction,"Thaler R., Thaler R.","Kahneman D., Tversky A.",0
918,10.1016/0370-2693(91)90536-Y,10.1016/0370-2693(91)90413-K,146,Physics and Astronomy,Physics and Astronomy,Differential equation method. The calculation of N-point Feynman diagrams,Differential equations method. New technique for massive Feynman diagram calculation,Kotikov A.V.,Kotikov A.V.,1
919,10.1007/BF00143739,10.1016/0010-0285(73)90033-9,100,"Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Environmental Science, Environmental Science, Environmental Science, Environmental Science, Environmental Science, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences, Social Sciences","Psychology, Social Sciences, Psychology, Psychology, Psychology, Social Sciences, Computer Science, Psychology, Psychology, Psychology, Social Sciences, Computer Science, Psychology, Psychology, Psychology, Computer Science, Psychology, Psychology, Social Sciences, Computer Science, Social Sciences, Computer Science, Psychology, Psychology, Psychology",How safe is safe enough? A psychometric study of attitudes towards technological risks and benefits,Availability: A heuristic for judging frequency and probability,"Slovic P., Lichtenstein S., Read S., Fischhoff B., Combs B., Slovic P., Lichtenstein S., Read S., Fischhoff B., Combs B.","Kahneman D., Kahneman D., Kahneman D., Kahneman D., Kahneman D., Tversky A., Tversky A., Tversky A., Tversky A., Tversky A.",0
920,10.1063/1.438980,10.1063/1.1677527,767,"Chemistry, Physics and Astronomy, Physics and Astronomy, Chemistry","Physics and Astronomy, Physics and Astronomy, Chemistry, Chemistry","Contracted Gaussian basis sets for molecular calculations. I. Second row atoms, Z=11-18",Self-consistent molecular orbital methods. XII. Further extensions of gaussian-type basis sets for use in molecular orbital studies of organic molecules,"Chandler G.S., McLean A.D., Chandler G.S., McLean A.D., Chandler G.S., McLean A.D.","Ditchfield K., Ditchfield K., Hehre W.J., Hehre W.J., Pople J.A., Pople J.A.",0
921,10.1063/1.438980,"",294,"Physics and Astronomy, Chemistry, Chemistry, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy, Chemistry, Chemistry","Contracted Gaussian basis sets for molecular calculations. I. Second row atoms, Z=11-18",Self-consistent molecular-orbital methods. IX. An extended gaussian-type basis for molecular-orbital studies of organic molecules,"Chandler G.S., McLean A.D., Chandler G.S., McLean A.D., Chandler G.S., McLean A.D.","Hehre W.J., Hehre W.J., Ditchfield R., Ditchfield R., Pople J.A., Pople J.A.",0
922,10.1063/1.438980,10.1016/0301-0104(81)85090-2,238,"Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy","Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy","Contracted Gaussian basis sets for molecular calculations. I. Second row atoms, Z=11-18",Electrostatic interaction of a solute with a continuum. A direct utilizaion of AB initio molecular potentials for the prevision of solvent effects,"Chandler G.S., McLean A.D., Chandler G.S., McLean A.D., Chandler G.S., McLean A.D.","Scrocco E., Scrocco E., Miertus S., Miertus S., Tomasi J., Tomasi J.",0
923,10.1130/0091-7613(1990)018<0128:PAACRO>2.3.CO;2,10.1144/GSL.SP.1989.042.01.19,121,"Earth and Planetary Sciences, Earth and Planetary Sciences, Earth and Planetary Sciences","Environmental Science, Engineering, Earth and Planetary Sciences","Paleozoic accretion and Cenozoic redeformation of the Chinese Tien Shan Range, central Asia",Chemical and isotopic systematics of oceanic basalts: Implications for mantle composition and processes,"Allen M.B., Zhao Z.-Y, Wang G.-R, Windley B.F., Zhang C., Allen M.B., Zhao Z.-Y, Wang G.-R, Windley B.F., Zhang C.","McDonough W.F., McDonough W.F., McDonough W.F., McDonough W.F., McDonough W.F., Sun S.-S., Sun S.-S., Sun S.-S., Sun S.-S., Sun S.-S.",0
924,10.1038/354056a0,10.1103/PhysRevB.13.5188,444,General,Physics and Astronomy,Helical microtubules of graphitic carbon,Special points for Brillouin-zone integrations,"Iijima S., Iijima S.","Monkhorst H.J., Pack J.D.",0
925,10.1016/0021-9991(77)90121-8,10.1021/j100308a038,131,"Physics and Astronomy, Computer Science, Physics and Astronomy, Computer Science","Engineering, Chemistry, Chemistry, Engineering",Nonphysical sampling distributions in Monte Carlo free-energy estimation: Umbrella sampling,The missing term in effective pair potentials,"Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M.","Berendsen H.J.C., Berendsen H.J.C., Grigera J.R., Grigera J.R., Straatsma T.P., Straatsma T.P.",0
926,10.1016/0021-9991(77)90121-8,10.1016/0009-2614(74)80109-0,234,"Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Computer Science, Computer Science, Computer Science, Physics and Astronomy, Physics and Astronomy, Computer Science, Computer Science","Physics and Astronomy, Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Chemistry, Chemistry",Nonphysical sampling distributions in Monte Carlo free-energy estimation: Umbrella sampling,Monte Carlo free energy estimates using non-Boltzmann sampling: Application to the sub-critical Lennard-Jones fluid,"Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M.","Torrie G.M., Torrie G.M., Valleau J.P., Valleau J.P.",1
927,10.1016/0021-9991(77)90121-8,10.1016/0021-9991(77)90098-5,473,"Physics and Astronomy, Computer Science, Computer Science, Physics and Astronomy","Physics and Astronomy, Computer Science, Physics and Astronomy, Computer Science",Nonphysical sampling distributions in Monte Carlo free-energy estimation: Umbrella sampling,Numerical integration of the cartesian equations of motion of a system with constraints: molecular dynamics of n-alkanes,"Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M.","Ciccotti G., Ciccotti G., Ryckaert J.-P., Ryckaert J.-P., Berendsen H.J.C., Berendsen H.J.C.",0
928,10.1016/0021-9991(77)90121-8,10.1063/1.448118,392,"Computer Science, Computer Science, Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Chemistry, Chemistry, Physics and Astronomy",Nonphysical sampling distributions in Monte Carlo free-energy estimation: Umbrella sampling,Molecular dynamics with coupling to an external bath,"Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M.","Haak J.R., Haak J.R., Dinola A., Dinola A., Van Gunsteren W.F., Van Gunsteren W.F., Postma J.P.M., Postma J.P.M., Berendsen H.J.C., Berendsen H.J.C.",0
929,10.1016/0021-9991(77)90121-8,10.1063/1.447334,167,"Physics and Astronomy, Computer Science, Physics and Astronomy, Computer Science","Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy",Nonphysical sampling distributions in Monte Carlo free-energy estimation: Umbrella sampling,A unified formulation of the constant temperature molecular dynamics methods,"Valleau J.P., Torrie G.M.","Nose S., Nose S.",0
930,10.1016/0021-9991(77)90121-8,10.1002/jcc.540040211,296,"Computer Science, Computer Science, Physics and Astronomy, Physics and Astronomy","Mathematics, Chemistry, Chemistry, Mathematics",Nonphysical sampling distributions in Monte Carlo free-energy estimation: Umbrella sampling,"CHARMM: A program for macromolecular energy, minimization, and dynamics calculations","Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M., Valleau J.P., Torrie G.M.","Brooks B.R., Brooks B.R., Bruccoleri R.E., Bruccoleri R.E., Olafson B.D., Olafson B.D., States D.J., States D.J., Swaminathan S., Swaminathan S., Karplus M., Karplus M.",0
931,10.1016/0034-4877(86)90055-8,10.1103/PhysRevLett.60.2339,160,"Physics and Astronomy, Mathematics","Physics and Astronomy, Physics and Astronomy","Parallel transport and """"quantum holonomy"""" along density operators",General setting for berry's phase,"Uhlmann A., Uhlmann A.","Samuel J., Bhandari R.",0
932,10.1063/1.97359,10.1103/PhysRevB.45.13509,185,Physics and Astronomy,Physics and Astronomy,Extraction of Schottky diode parameters from forward current-voltage characteristics,Electron transport at metal-semiconductor interfaces: General theory,"Cheung N.W., Cheung S.K.","Tung R.T., Tung R.T.",0
933,10.1063/1.97359,10.1063/1.347243,233,Physics and Astronomy,Physics and Astronomy,Extraction of Schottky diode parameters from forward current-voltage characteristics,Barrier inhomogeneities at Schottky contacts,"Cheung N.W., Cheung S.K., Cheung N.W., Cheung S.K.","Werner J.H., Werner J.H., Guttler H.H., Guttler H.H.",0
934,10.1103/PhysRevB.37.785,10.1126/science.218.4574.747,316,Physics and Astronomy,General,Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,Role of frontier orbitals in chemical reactions,"Yang W., Lee C., Parr R.G.","Fukui K., Fukui K., Fukui K.",0
935,10.1103/PhysRevB.37.785,10.1038/318162a0,417,"Physics and Astronomy, Physics and Astronomy","General, Medicine",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,C60: Buckminsterfullerene,"Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Kroto H.W., Kroto H.W., Kroto H.W., Heath J.R., Heath J.R., Heath J.R., O'Brien S.C., O'Brien S.C., O'Brien S.C., Curl R.F., Curl R.F., Curl R.F., Smalley R.E., Smalley R.E., Smalley R.E.",0
936,10.1103/PhysRevB.37.785,10.1103/PhysRevB.13.5188,663,Physics and Astronomy,Physics and Astronomy,Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,Special points for Brillouin-zone integrations,"Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Pack J.D., Pack J.D., Pack J.D., Monkhorst H.J., Monkhorst H.J., Monkhorst H.J.",0
937,10.1103/PhysRevB.37.785,10.1039/P298700000S1,305,Physics and Astronomy,Chemistry,Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,Tables of bond lengths determined by x-ray and neutron diffraction. Part 1. Bond lengths in organic compounds,"Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Allen F.H., Allen F.H., Allen F.H., Kennard O., Kennard O., Kennard O., Watson D.G., Watson D.G., Watson D.G., Brammer L., Brammer L., Brammer L., Orpen A.G., Orpen A.G., Orpen A.G., Taylor R., Taylor R., Taylor R.",0
938,10.1103/PhysRevB.37.785,10.1007/BF02401406,321,Physics and Astronomy,Health Professions,Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,On the calculation of bonding energies by the Hartree Fock Slater method - I. The transition state method,"Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Ziegler T., Ziegler T., Ziegler T., Rauk A., Rauk A., Rauk A.",0
939,10.1103/PhysRevB.37.785,10.1021/ic00277a030,266,"Physics and Astronomy, Physics and Astronomy","Chemistry, Chemistry",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,Absolute Electronegativity and Hardness: Application to Inorganic Chemistry,"Yang W., Lee C., Parr R.G.","Pearson R.G., Pearson R.G., Pearson R.G.",0
940,10.1103/PhysRevB.37.785,10.1063/1.447334,515,"Physics and Astronomy, Physics and Astronomy","Chemistry, Physics and Astronomy",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,A unified formulation of the constant temperature molecular dynamics methods,"Yang W., Lee C., Parr R.G.","Nose S., Nose S., Nose S.",0
941,10.1103/PhysRevB.37.785,10.1016/0003-4916(74)90333-9,298,Physics and Astronomy,Physics and Astronomy,Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,Quantum electrodynamical corrections to the fine structure of helium,"Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Douglas M., Douglas M., Douglas M., Kroll N.M., Kroll N.M., Kroll N.M.",0
942,10.1103/PhysRevB.37.785,10.1063/1.456066,207,"Physics and Astronomy, Physics and Astronomy","Chemistry, Physics and Astronomy",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,Energy-adjusted ab initio pseudopotentials for the rare earth elements,"Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Preuss H., Preuss H., Preuss H., Stoll H., Stoll H., Stoll H., Dolg M., Dolg M., Dolg M.",0
943,10.1103/PhysRevB.37.785,10.1016/0022-2860(90)80287-T,243,"Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Chemistry, Chemistry, Chemistry, Chemistry",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,Molvib - A flexible program for force field calculations,"Yang W., Lee C., Parr R.G.","Sundius T., Sundius T., Sundius T.",0
944,10.1103/PhysRevB.37.785,10.1016/0009-2614(88)80378-6,233,"Physics and Astronomy, Physics and Astronomy","Chemistry, Physics and Astronomy",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,A spin correction procedure for unrestricted Hartree-Fock and Møller-Plesset wavefunctions for singlet diradicals and polyradicals,"Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Houk K.N., Houk K.N., Houk K.N., Dorigo A., Dorigo A., Dorigo A., Jensen F., Jensen F., Jensen F., Yamaguchi K., Yamaguchi K., Yamaguchi K.",0
945,10.1103/PhysRevB.37.785,10.1016/0009-2614(82)80012-2,246,"Physics and Astronomy, Physics and Astronomy","Chemistry, Physics and Astronomy",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,A proper account of core-polarization with pseudopotentials: single valence-electron alkali compounds,"Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Von Szentpaly L., Von Szentpaly L., Von Szentpaly L., Stoll H., Stoll H., Stoll H., Preuss H., Preuss H., Preuss H., Fuentealba P., Fuentealba P., Fuentealba P.",0
946,10.1103/PhysRevB.37.785,10.1080/00268978400101201,330,"Physics and Astronomy, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Chemistry, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,A molecular dynamics method for simulations in the canonical ensemble,"Yang W., Lee C., Parr R.G.","Nose S., Nose S., Nose S.",0
947,10.1103/PhysRevB.37.785,10.1002/jcc.540040211,374,"Physics and Astronomy, Physics and Astronomy","Chemistry, Mathematics",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,"CHARMM: A program for macromolecular energy, minimization, and dynamics calculations","Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Brooks B.R., Brooks B.R., Brooks B.R., Bruccoleri R.E., Bruccoleri R.E., Bruccoleri R.E., Olafson B.D., Olafson B.D., Olafson B.D., States D.J., States D.J., States D.J., Swaminathan S., Swaminathan S., Swaminathan S., Karplus M., Karplus M., Karplus M.",0
948,10.1103/PhysRevB.37.785,10.1002/qua.560100211,257,"Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Chemistry, Physics and Astronomy",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,A new energy decomposition scheme for molecular interactions within the Hartree‐Fock approximation,"Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Morokuma K., Morokuma K., Morokuma K., Kitaura K., Kitaura K., Kitaura K.",0
949,10.1103/PhysRevB.37.785,10.1002/qua.560140504,170,"Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy, Chemistry",Development of the Colle-Salvetti correlation-energy formula into a functional of the electron density,"Many‐body perturbation theory, coupled‐pair many‐electron theory, and the importance of quadruple excitations for the correlation problem","Yang W., Lee C., Parr R.G., Yang W., Lee C., Parr R.G.","Purvis G.D., Purvis G.D., Purvis G.D., Bartlett R.J., Bartlett R.J., Bartlett R.J.",0
950,10.1126/science.218.4574.747,10.1021/ja00364a005,248,"General, General, General, General","Biochemistry, Genetics and Molecular Biology, Chemical Engineering, Chemical Engineering, Chemistry",Role of frontier orbitals in chemical reactions,Absolute Hardness: Companion Parameter to Absolute Electronegativity,"Fukui K., Fukui K.","Pearson R.G., Parr R.G.",0
951,10.1063/1.1677527,10.1021/ja00544a007,226,"Chemistry, Chemistry, Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Chemical Engineering, Chemical Engineering, Chemistry, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Chemical Engineering, Chemical Engineering, Chemistry",Self-consistent molecular orbital methods. XII. Further extensions of gaussian-type basis sets for use in molecular orbital studies of organic molecules,Natural Hybrid Orbitals,"Hehre W.J., Pople J.A., Ditchfield K., Hehre W.J., Pople J.A., Ditchfield K.","Weinhold F., Weinhold F., Weinhold F., Foster J.P., Foster J.P., Foster J.P.",0
952,10.1063/1.1677527,10.1021/ar00072a001,233,"Chemistry, Physics and Astronomy","Chemistry, Chemistry",Self-consistent molecular orbital methods. XII. Further extensions of gaussian-type basis sets for use in molecular orbital studies of organic molecules,The Path of Chemical Reactions - The IRC Approach,"Hehre W.J., Pople J.A., Ditchfield K.","Fukui K., Fukui K., Fukui K.",0
953,10.1063/1.1677527,10.1063/1.445134,195,"Chemistry, Physics and Astronomy, Chemistry, Physics and Astronomy","Physics and Astronomy, Physics and Astronomy, Chemistry, Chemistry",Self-consistent molecular orbital methods. XII. Further extensions of gaussian-type basis sets for use in molecular orbital studies of organic molecules,Natural bond orbital analysis of near-Hartree-Fock water dimer,"Hehre W.J., Pople J.A., Ditchfield K., Hehre W.J., Pople J.A., Ditchfield K.","Weinhold F., Weinhold F., Weinhold F., Reed A.E., Reed A.E., Reed A.E.",0
954,10.1063/1.1677527,10.1080/00268977000101561,532,"Physics and Astronomy, Chemistry, Chemistry, Chemistry, Chemistry, Physics and Astronomy, Physics and Astronomy, Physics and Astronomy","Chemistry, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Chemistry, Physics and Astronomy, Biochemistry, Genetics and Molecular Biology, Biochemistry, Genetics and Molecular Biology, Physics and Astronomy",Self-consistent molecular orbital methods. XII. Further extensions of gaussian-type basis sets for use in molecular orbital studies of organic molecules,The calculation of small molecular interactions by the differences of separate total energies. Some procedures with reduced errors,"Hehre W.J., Pople J.A., Ditchfield K., Hehre W.J., Pople J.A., Ditchfield K.","Boys S.F., Boys S.F., Boys S.F., Bernardi F., Bernardi F., Bernardi F.",0
