wos_id,pmid
WOS:000216269800001,22368760
WOS:000217348400005,22370693
WOS:000410108900003,22374048
WOS:000217988800006,22375106
WOS:000210145200001,22377542
WOS:000210145200016,22377555
WOS:000219416400001,22379311
WOS:000420598000004,22379566
WOS:000420598000011,22379573
WOS:000420598000020,22379582
WOS:000219123200032,22382241
WOS:000422407000017,22382265
WOS:000421082600001,22383518
WOS:000216230000001,22384287
WOS:000209619900002,22390459
WOS:000216626000020,22390808
WOS:000214601100015,22392408
WOS:000420278900004,22393685
WOS:000421553700018,22395384
WOS:000421553700025,22395391
WOS:000421299400005,22399126
WOS:000420621900004,22401946
WOS:000212983900007,22405362
WOS:000213867000012,22406303
WOS:000213847900001,22406581
WOS:000213847900033,22406613
WOS:000219167400002,22408655
WOS:000219167400013,22408666
WOS:000219167400018,22408671
WOS:000219167400027,22408680
WOS:000219763400004,22408707
WOS:000209814700006,22411042
WOS:000421442100023,22412416
WOS:000421442100076,22412469
WOS:000421442100079,22412472
WOS:000421442100088,22412481
WOS:000421442100105,22412498
WOS:000421442100111,22412504
WOS:000421442100122,22412515
WOS:000421442100127,22412520
WOS:000421442100133,22412526
WOS:000421442100144,22412537
WOS:000421442100169,22412562
WOS:000421442100234,22412627
WOS:000421442100259,22412652
WOS:000421442100261,22412654
WOS:000421442100265,22412658
WOS:000421442100276,22412669
WOS:000421442100290,22412683
WOS:000421442100315,22412708
WOS:000421442100333,22412726
WOS:000421442100344,22412737
WOS:000421442100371,22412764
WOS:000218563500009,22413978
WOS:000218563500012,22413981
WOS:000410055500008,22415286
WOS:000218221200004,22415332
WOS:000218221200006,22415334
WOS:000211854100003,22416045
WOS:000213299700014,22416544
WOS:000210872000001,22416984
WOS:000215019600002,22419877
WOS:000421385600005,22421456
WOS:000420937600018,22421502
WOS:000218900500003,24567846
WOS:000218705300001,24567897
WOS:000415534500020,24568308
WOS:000421047500010,24569109
WOS:000408821400001,24570354
WOS:000216371100003,24570783
WOS:000215211000003,24572006
WOS:000215551400003,24572042
WOS:000210506300001,24573700
WOS:000209722700015,24574565
WOS:000216906500006,24575030
WOS:000218959800002,24575113
WOS:000421141800004,24575135
WOS:000421141800006,24575137
WOS:000219304800006,24575258
WOS:000219307300005,24575281
WOS:000219307300009,24575285
WOS:000218794000013,24575375
WOS:000367686800028,24575881
WOS:000213326700003,24578361
WOS:000213326700007,24578365
WOS:000216826100009,24578602
WOS:000421460800009,24578860
WOS:000421466100016,24578886
WOS:000421469400004,24578895
WOS:000421469400014,24578905
WOS:000421469400019,24578910
WOS:000421470900005,24578916
WOS:000421471700001,24578930
WOS:000421471700005,24578934
WOS:000421473800002,24578976
WOS:000421474200028,24579036
WOS:000218397400036,24579065
WOS:000421362100002,24582430
WOS:000216411400006,24583385
WOS:000219536600017,24584043
WOS:000216411000005,24584957
WOS:000421123200003,24585815
WOS:000214869700006,24587862
WOS:000210893600008,24588494
WOS:000212622900007,24588980
WOS:000370234200006,24589352
WOS:000410157000001,24591425
WOS:000210032300015,24591669
WOS:000421562100014,24591805
WOS:000213970400011,24591843
WOS:000420630700003,24591872
WOS:000420630700007,24591876
WOS:000420630700009,24591878
WOS:000420631800012,24591898
WOS:000420634200005,24591920
WOS:000420637800001,24591948
WOS:000420637800008,24591955
WOS:000420641200010,24591988
WOS:000420643800010,24592002
WOS:000420649900008,24592019
WOS:000420652800012,24592039
WOS:000420656100016,24592059
WOS:000420659400008,24592084
WOS:000420671700007,24592095
WOS:000420671700013,24592101
WOS:000218526300004,24592312
WOS:000218924700011,24592606
WOS:000210473500006,24592862
WOS:000215431600004,24595560
WOS:000215761200002,24596473
WOS:000219353900005,24596596
WOS:000420330100005,24596602
WOS:000420330100011,24596608
WOS:000422327700067,24596774
WOS:000215295300009,24596837
WOS:000215295300011,24596839
WOS:000215296000014,24596855
WOS:000215296800003,24596864
WOS:000215297500008,24596886
WOS:000215297500015,24596893
WOS:000216489100012,24597380
WOS:000216489100018,24597386
WOS:000209612000001,24597904
WOS:000353982000001,24598374
WOS:000408850000002,24598392
WOS:000408850000010,24598400
WOS:000217028300002,24600176
WOS:000213914400005,24600260
WOS:000213914400011,24600266
WOS:000213918100001,24600282
WOS:000213918100005,24600286
WOS:000213919000004,24600295
WOS:000218397400027,24600585
WOS:000368250300028,24602084
WOS:000214427300011,24602190
WOS:000213880200009,24603193
WOS:000219789000005,24606532
WOS:000215776800001,24606631
WOS:000215551400004,24607258
WOS:000216765500004,24610647
WOS:000213970400009,24611019
WOS:000213294800009,24611806
WOS:000367059700003,24617440
WOS:000214790300004,24618076
WOS:000213895700003,24618425
WOS:000213895700014,24618436
WOS:000368525000005,24621304
WOS:000422341500002,24621427
WOS:000218638400001,24623803
WOS:000215304600008,24623993
WOS:000213883600004,24624000
WOS:000421028500005,24624174
WOS:000421138200003,24624198
WOS:000218908800006,24624314
WOS:000369709100006,24625562
WOS:000219138900005,24625993
WOS:000219138900025,24626013
WOS:000421044700013,24626101
WOS:000209571600016,24627287
WOS:000217687100008,24627618
WOS:000420646600004,24627669
WOS:000214130700006,24627742
WOS:000420511600004,24627838
WOS:000212529800007,24628143
WOS:000213001800004,24629243
WOS:000213001800008,24629247
WOS:000213001800015,24629254
WOS:000214786600012,24633291
WOS:000218997900008,24634704
WOS:000219537200007,24636980
WOS:000367765300023,24637509
WOS:000214431000001,24639037
WOS:000219069100013,24640981
WOS:000211352700006,24641076
WOS:000212624000004,24641300
WOS:000420494800007,24643115
WOS:000421928600015,24643157
WOS:000421928600018,24643160
WOS:000421928600020,24643162
WOS:000420494800009,24643339
WOS:000409606200010,24644211
WOS:000409648800012,24644327
WOS:000219455700001,24644389
WOS:000219455700004,24644392
WOS:000421142100001,24644431
WOS:000421142100003,24644433
WOS:000420092000003,24644442
WOS:000420093700013,24644475
WOS:000420095200002,24644477
WOS:000420095200013,24644488
WOS:000420096900006,24644497
WOS:000420098300008,24644510
WOS:000420098300012,24644514
WOS:000409681000009,24644565
WOS:000409684100012,24644754
WOS:000219013200012,24645889
WOS:000218874000001,24646381
WOS:000218874000013,24646390
WOS:000369612400020,24646538
WOS:000214938900002,24647153
WOS:000214938900004,24647155
WOS:000212835000004,24694102
WOS:000211366000005,24696429
WOS:000418442700007,24696632
WOS:000421338500029,24696753
WOS:000219261100005,24696830
WOS:000210432200008,24698757
WOS:000217370700006,24700078
WOS:000217000100012,24700898
WOS:000217000100014,24700900
WOS:000217000100018,24700904
WOS:000217000100022,24700908
WOS:000217000100027,24700913
WOS:000209777800023,24700948
WOS:000218203200003,24701060
WOS:000218591300019,24701095
WOS:000422364300034,24701499
WOS:000422364300069,24701534
WOS:000422364300073,24701538
WOS:000422364300080,24701545
WOS:000422364300093,24701558
WOS:000420708400005,24702870
WOS:000217915300014,24704744
WOS:000219058500008,24705035
WOS:000218487200004,24705112
WOS:000218487200006,24705114
WOS:000219538700004,24705189
WOS:000218475300009,24705749
WOS:000216106700091,24707169
WOS:000214535600036,24707187
WOS:000216906500010,24707268
WOS:000369715100004,24708070
WOS:000213948100012,24711708
WOS:000213713900003,24711780
WOS:000213713900005,24711782
WOS:000213713900007,24711784
WOS:000213713900009,24711786
WOS:000213713900011,24711788
WOS:000209629300033,24711803
WOS:000219349800004,24711919
WOS:000219349800005,24711920
WOS:000420128500008,24713777
WOS:000420128500001,24713786
WOS:000420129400010,24713791
WOS:000420139600018,24713799
WOS:000420140200005,24713845
WOS:000420139600009,24714136
WOS:000420141700020,24714248
WOS:000420127600014,24714251
WOS:000420127600007,24714255
WOS:000420140200016,24714259
WOS:000420143600009,24714273
WOS:000420140200017,24714280
WOS:000420143600023,24714291
WOS:000420127600002,24714299
WOS:000420142400024,24714372
WOS:000420143600011,24714408
WOS:000420145000008,24714451
WOS:000420142400008,24714662
WOS:000420145000001,24714684
WOS:000420144100018,24714703
WOS:000420143200021,24714758
WOS:000420143200016,24714820
WOS:000213314500002,24716334
WOS:000376977600010,24718839
WOS:000421535300003,24719001
WOS:000421535300005,24719003
WOS:000421535300014,24719012
WOS:000421535300016,24719014
WOS:000218157600001,24719649
WOS:000218797400001,24719780
WOS:000218905000006,24719827
WOS:000218905000008,24719829
WOS:000212839400008,24720421
WOS:000368250300034,24720861
WOS:000213882400015,24721585
WOS:000367765300017,24721990
WOS:000209649600006,24722010
WOS:000409654500003,24723147
WOS:000218005200027,24723860
WOS:000209749800037,24723909
WOS:000214660800006,24723989
WOS:000410531900003,24724001
WOS:000218397400057,24724054
WOS:000368525000016,24724700
WOS:000211135100006,24724920
WOS:000216652300001,24725228
WOS:000213691900003,24725781
WOS:000213691900018,24725796
WOS:000213691900022,24725800
WOS:000421000900017,24728252
WOS:000421000900023,24728258
WOS:000410518500005,24728315
WOS:000210419900019,24729712
WOS:000213920700003,24729738
WOS:000219815400002,24729833
WOS:000421569600007,24731391
WOS:000421447100011,24732257
WOS:000420145600009,24733047
WOS:000420145600011,24733113
WOS:000364907600005,24733223
WOS:000420145600014,24733229
WOS:000420145600024,24733612
WOS:000420145600006,24733658
WOS:000422131100001,24734154
WOS:000209640400011,24735489
WOS:000341838400045,24736941
WOS:000215780800001,24737931
WOS:000369715100001,24738851
WOS:000211085400009,24738950
WOS:000420731400004,24739128
WOS:000410213800018,24739698
WOS:000210065100001,24739762
WOS:000420084700001,24739955
WOS:000210624100003,24740447
WOS:000219100700005,24741226
WOS:000218650600001,24741237
WOS:000218650600015,24741251
WOS:000218650600028,24741264
WOS:000219286000003,24741273
WOS:000219286000009,24741279
WOS:000219286000014,24741284
WOS:000216106700099,24741288
WOS:000214015600009,24741323
WOS:000422154800001,24741325
WOS:000215304600015,24741332
WOS:000409624500009,24741455
WOS:000218502100002,24741532
WOS:000218502100006,24741536
WOS:000218502100008,24741538
WOS:000218502100013,24741543
WOS:000214725800003,24742283
WOS:000210473500009,24742322
WOS:000210473500008,24742353
WOS:000209773900003,24743684
WOS:000218614300002,24744508
WOS:000218614300005,24744511
WOS:000218614300018,24744524
WOS:000218614300025,24744531
WOS:000219069000001,24744560
WOS:000219069000003,24744562
WOS:000213823500007,24744614
WOS:000214852700047,24744706
WOS:000219215900010,24744841
WOS:000214634400009,24744858
WOS:000214634400011,24744867
WOS:000214636700002,24744870
WOS:000214636700011,24744885
WOS:000214638500023,24744892
WOS:000214638500016,24744894
WOS:000214638500013,24744896
WOS:000214638500006,24744904
WOS:000214638500019,24744911
WOS:000219229700001,24744964
WOS:000219229700003,24744966
WOS:000219229700005,24744968
WOS:000218397400055,24744988
WOS:000214121800006,24745868
WOS:000209570500001,24745918
WOS:000209570500002,24745927
WOS:000216653100012,24746061
WOS:000213882400009,24746102
WOS:000213882400006,24746599
WOS:000210628300001,24748025
WOS:000215431900010,24748544
WOS:000360392500013,24748580
WOS:000214920600013,24748771
WOS:000210419900022,24748799
WOS:000210419900024,24748801
WOS:000213970400019,24748809
WOS:000213880100008,24748823
WOS:000213892800011,24748825
WOS:000219528000007,24748922
WOS:000409000800005,24748940
WOS:000409000800011,24748946
WOS:000218826000017,24748979
WOS:000218838800033,24749040
WOS:000410435700004,24749084
WOS:000367187500006,24749710
WOS:000218613800007,24750703
WOS:000218613800011,24750707
WOS:000209990700010,24753647
WOS:000209990700012,24753649
WOS:000421338500035,24753782
WOS:000215639400013,24753836
WOS:000219438900007,24753856
WOS:000219458700006,24753863
WOS:000219461800005,24753874
WOS:000219461800007,24753876
WOS:000219463600005,24753885
WOS:000219465200005,24753896
WOS:000219465200007,24753898
WOS:000219466900001,24753904
WOS:000219466900003,24753906
WOS:000219475400005,24753926
